Date,Close,High,Low,Open
2014-01-02,6221.149902,6358.299805,6211.299805,6301.25
2014-01-03,6211.149902,6221.700195,6171.25,6194.549805
2014-01-06,6191.450195,6224.700195,6170.25,6220.850098
2014-01-07,6162.25,6221.5,6144.75,6203.899902
2014-01-08,6174.600098,6192.100098,6160.350098,6178.049805
2014-01-09,6168.350098,6188.049805,6148.25,6181.700195
2014-01-10,6171.450195,6239.100098,6139.600098,6178.850098
2014-01-13,6272.75,6288.200195,6189.549805,6189.549805
2014-01-14,6241.850098,6280.350098,6234.149902,6260.25
2014-01-15,6320.899902,6325.200195,6265.299805,6265.950195
2014-01-16,6318.899902,6346.5,6299.850098,6341.350098
2014-01-17,6261.649902,6327.100098,6246.350098,6306.25
2014-01-20,6303.950195,6307.450195,6243.350098,6261.75
2014-01-21,6313.799805,6330.299805,6297.899902,6320.149902
2014-01-22,6338.950195,6349.950195,6287.450195,6309.049805
2014-01-23,6345.649902,6355.600098,6316.399902,6325.950195
2014-01-24,6266.75,6331.450195,6263.899902,6301.649902
2014-01-27,6135.850098,6188.549805,6130.25,6186.299805
2014-01-28,6126.25,6163.600098,6085.950195,6131.850098
2014-01-29,6120.25,6170.450195,6109.799805,6161.0
2014-01-30,6073.700195,6082.850098,6027.25,6067.0
2014-01-31,6089.5,6097.850098,6067.350098,6082.75
2014-02-03,6001.799805,6074.850098,5994.450195,6058.799805
2014-02-04,6000.899902,6017.799805,5933.299805,5947.600098
2014-02-05,6022.399902,6028.049805,5962.049805,6004.25
2014-02-06,6036.299805,6048.350098,5965.399902,6028.350098
2014-02-07,6063.200195,6079.950195,6030.899902,6077.649902
2014-02-10,6053.450195,6083.049805,6046.399902,6072.799805
2014-02-11,6062.700195,6081.850098,6053.25,6072.450195
2014-02-12,6084.0,6106.600098,6077.399902,6085.350098
2014-02-13,6001.100098,6094.399902,5991.100098,6087.549805
2014-02-14,6048.350098,6056.399902,5984.600098,6023.75
2014-02-17,6073.299805,6080.649902,6038.299805,6057.100098
2014-02-18,6127.100098,6141.700195,6066.799805,6071.299805
2014-02-19,6152.75,6160.350098,6125.75,6132.049805
2014-02-20,6091.450195,6129.100098,6086.450195,6127.149902
2014-02-21,6155.450195,6159.649902,6108.0,6108.299805
2014-02-24,6186.100098,6191.850098,6130.799805,6140.950195
2014-02-25,6200.049805,6216.850098,6176.600098,6205.700195
2014-02-26,6238.799805,6245.950195,6202.100098,6202.450195
2014-02-28,6276.950195,6282.700195,6228.100098,6228.450195
2014-03-03,6221.450195,6277.75,6212.25,6264.350098
2014-03-04,6297.950195,6302.149902,6215.700195,6216.75
2014-03-05,6328.649902,6336.25,6287.799805,6328.450195
2014-03-06,6401.149902,6406.600098,6339.700195,6344.75
2014-03-07,6526.649902,6537.799805,6413.549805,6413.950195
2014-03-10,6537.25,6562.200195,6487.350098,6491.700195
2014-03-11,6511.899902,6562.850098,6494.25,6537.350098
2014-03-12,6516.899902,6546.149902,6487.299805,6497.5
2014-03-13,6493.100098,6561.450195,6476.649902,6491.75
2014-03-14,6504.200195,6518.450195,6432.700195,6447.25
2014-03-18,6516.649902,6574.950195,6497.649902,6532.450195
2014-03-19,6524.049805,6541.200195,6506.0,6530.0
2014-03-20,6483.100098,6523.649902,6473.25,6508.350098
2014-03-21,6493.200195,6522.899902,6485.700195,6515.200195
2014-03-22,,,,
2014-03-24,6583.5,6591.5,6510.5,6510.5
2014-03-25,6589.75,6595.549805,6544.850098,6550.100098
2014-03-26,6601.399902,6627.450195,6580.600098,6615.649902
2014-03-27,6641.75,6673.950195,6599.5,6613.100098
2014-03-28,6695.899902,6702.600098,6643.799805,6673.049805
2014-03-31,6704.200195,6730.049805,6662.399902,6723.149902
2014-04-01,6721.049805,6732.25,6675.450195,6729.5
2014-04-02,6752.549805,6763.5,6723.600098,6757.600098
2014-04-03,6736.100098,6776.75,6696.899902,6772.049805
2014-04-04,6694.350098,6741.850098,6685.149902,6741.850098
2014-04-07,6695.049805,6725.149902,6650.399902,6694.25
2014-04-09,6796.200195,6808.700195,6705.100098,6722.0
2014-04-10,6796.399902,6819.049805,6777.299805,6803.049805
2014-04-11,6776.299805,6789.350098,6743.149902,6758.350098
2014-04-15,6733.100098,6813.399902,6711.75,6792.700195
2014-04-16,6675.299805,6748.649902,6665.149902,6727.25
2014-04-17,6779.399902,6783.049805,6684.399902,6695.450195
2014-04-21,6817.649902,6825.450195,6786.899902,6789.25
2014-04-22,6815.350098,6838.0,6806.25,6822.899902
2014-04-23,6840.799805,6861.600098,6820.75,6823.25
2014-04-24,,,,
2014-04-25,6782.75,6869.850098,6772.850098,6855.799805
2014-04-28,6761.25,6786.25,6750.299805,6778.549805
2014-04-29,6715.25,6779.700195,6708.649902,6769.0
2014-04-30,6696.399902,6780.149902,6656.799805,6724.950195
2014-05-02,6694.799805,6737.649902,6689.5,6709.950195
2014-05-05,6699.350098,6741.049805,6680.450195,6681.649902
2014-05-06,6715.299805,6743.450195,6701.899902,6719.25
2014-05-07,6652.549805,6718.75,6642.899902,6708.600098
2014-05-08,6659.850098,6688.399902,6638.549805,6669.899902
2014-05-09,6858.799805,6871.350098,6652.149902,6654.149902
2014-05-12,7014.25,7020.049805,6862.899902,6863.399902
2014-05-13,7108.75,7172.350098,7067.149902,7080.0
2014-05-14,7108.75,7142.25,7080.899902,7112.0
2014-05-15,7123.149902,7152.549805,7082.549805,7111.299805
2014-05-16,7203.0,7563.5,7130.649902,7270.200195
2014-05-19,7263.549805,7291.100098,7193.549805,7276.850098
2014-05-20,7275.5,7353.649902,7247.700195,7309.950195
2014-05-21,7252.899902,7287.149902,7206.700195,7274.850098
2014-05-22,7276.399902,7319.549805,7258.149902,7289.950195
2014-05-23,7367.100098,7381.0,7293.899902,7306.5
2014-05-26,7359.049805,7504.0,7269.049805,7428.75
2014-05-27,7318.0,7372.950195,7274.75,7363.100098
2014-05-28,7329.649902,7344.75,7302.600098,7324.950195
2014-05-29,7235.649902,7325.399902,7224.399902,7316.600098
2014-05-30,7229.950195,7272.5,7118.450195,7254.850098
2014-06-02,7362.5,7368.600098,7239.5,7264.049805
2014-06-03,7415.850098,7424.950195,7342.149902,7375.350098
2014-06-04,7402.25,7433.299805,7391.350098,7417.549805
2014-06-05,7474.100098,7484.700195,7360.5,7399.75
2014-06-06,7583.399902,7592.700195,7497.649902,7521.5
2014-06-09,7654.600098,7673.700195,7580.25,7621.649902
2014-06-10,7656.399902,7683.200195,7579.299805,7679.049805
2014-06-11,7626.850098,7700.049805,7589.049805,7672.399902
2014-06-12,7649.899902,7658.0,7593.799805,7641.299805
2014-06-13,7542.100098,7678.5,7525.350098,7668.200195
2014-06-16,7533.549805,7548.600098,7487.549805,7534.799805
2014-06-17,7631.700195,7637.600098,7509.25,7525.049805
2014-06-18,7558.200195,7663.0,7515.5,7636.049805
2014-06-19,7540.700195,7606.450195,7502.549805,7580.049805
2014-06-20,7511.450195,7560.549805,7497.299805,7543.299805
2014-06-23,7493.350098,7534.799805,7441.600098,7514.0
2014-06-24,7580.200195,7593.350098,7515.200195,7515.200195
2014-06-25,7569.25,7589.25,7557.049805,7588.549805
2014-06-26,7493.200195,7570.200195,7481.299805,7554.100098
2014-06-27,7508.799805,7538.75,7482.299805,7514.200195
2014-06-30,7611.350098,7623.649902,7531.600098,7534.049805
2014-07-01,7634.700195,7649.5,7618.149902,7629.0
2014-07-02,7725.149902,7732.399902,7677.299805,7683.049805
2014-07-03,7714.799805,7754.649902,7706.799805,7734.350098
2014-07-04,7751.600098,7758.0,7661.299805,7718.100098
2014-07-07,7787.149902,7792.0,7755.100098,7780.399902
2014-07-08,7623.200195,7808.850098,7595.899902,7804.049805
2014-07-09,7585.0,7650.100098,7551.649902,7637.950195
2014-07-10,7567.75,7731.049805,7479.049805,7589.5
2014-07-11,7459.600098,7625.850098,7447.200195,7584.100098
2014-07-14,7454.149902,7478.450195,7422.149902,7469.0
2014-07-15,7526.649902,7534.899902,7459.149902,7491.299805
2014-07-16,7624.399902,7640.100098,7532.450195,7564.149902
2014-07-17,7640.450195,7655.649902,7612.700195,7612.700195
2014-07-18,7663.899902,7685.0,7595.5,7630.25
2014-07-21,7684.200195,7722.100098,7674.0,7701.649902
2014-07-22,7767.850098,7773.850098,7704.799805,7708.200195
2014-07-23,7795.75,7809.200195,7752.899902,7794.899902
2014-07-24,7830.600098,7835.649902,7771.649902,7796.25
2014-07-25,7790.450195,7840.950195,7748.600098,7828.200195
2014-07-28,7748.700195,7799.899902,7722.649902,7792.899902
2014-07-30,7791.399902,7798.700195,7707.600098,7746.200195
2014-07-31,7721.299805,7791.850098,7711.149902,7784.649902
2014-08-01,7602.600098,7716.700195,7593.899902,7662.5
2014-08-04,7683.649902,7694.799805,7622.049805,7639.549805
2014-08-05,7746.549805,7752.450195,7638.049805,7706.649902
2014-08-06,7672.049805,7740.950195,7658.950195,7726.149902
2014-08-07,7649.25,7708.950195,7630.399902,7651.149902
2014-08-08,7568.549805,7592.450195,7540.100098,7588.700195
2014-08-11,7625.950195,7635.549805,7598.600098,7619.850098
2014-08-12,7727.049805,7735.75,7654.799805,7688.799805
2014-08-13,7739.549805,7757.100098,7695.700195,7717.299805
2014-08-14,7791.700195,7796.700195,7739.100098,7756.149902
2014-08-18,7874.25,7880.5,7779.200195,7785.25
2014-08-19,7897.5,7918.549805,7881.149902,7901.0
2014-08-20,7875.299805,7922.700195,7864.049805,7915.799805
2014-08-21,7891.100098,7919.649902,7855.950195,7875.350098
2014-08-22,7913.200195,7929.049805,7900.049805,7904.549805
2014-08-25,7906.299805,7968.25,7897.950195,7931.75
2014-08-26,7904.75,7915.450195,7862.450195,7874.5
2014-08-27,7936.049805,7946.850098,7916.549805,7933.899902
2014-08-28,7954.350098,7967.799805,7939.200195,7942.25
2014-09-01,8027.700195,8035.0,7984.0,7990.350098
2014-09-02,8083.049805,8101.950195,8036.549805,8038.600098
2014-09-03,8114.600098,8141.899902,8092.25,8110.850098
2014-09-04,8095.950195,8114.799805,8060.899902,8114.200195
2014-09-05,8086.850098,8122.700195,8049.850098,8099.899902
2014-09-08,8173.899902,8180.200195,8126.149902,8132.950195
2014-09-09,8152.950195,8174.549805,8126.5,8161.899902
2014-09-10,8094.100098,8135.75,8082.100098,8135.549805
2014-09-11,8085.700195,8127.950195,8057.299805,8115.149902
2014-09-12,8105.5,8114.299805,8071.600098,8087.049805
2014-09-15,8042.0,8077.299805,8030.0,8070.350098
2014-09-16,7932.899902,8044.899902,7925.149902,8036.600098
2014-09-17,7975.5,7990.649902,7936.950195,7971.5
2014-09-18,8114.75,8120.850098,7939.700195,7950.649902
2014-09-19,8121.450195,8160.899902,8105.350098,8129.399902
2014-09-22,8146.299805,8159.899902,8064.799805,8084.450195
2014-09-23,8017.549805,8159.75,8008.100098,8144.399902
2014-09-24,8002.399902,8042.049805,7950.049805,8015.549805
2014-09-25,7911.850098,8019.299805,7877.350098,8003.299805
2014-09-26,7968.850098,7993.299805,7841.799805,7885.850098
2014-09-29,7958.899902,7991.75,7934.700195,7978.450195
2014-09-30,7964.799805,8030.899902,7923.850098,7948.799805
2014-10-01,7945.549805,7977.5,7936.700195,7960.5
2014-10-07,7852.399902,7943.049805,7842.700195,7897.399902
2014-10-08,7842.700195,7869.899902,7815.75,7828.75
2014-10-09,7960.549805,7972.350098,7886.5,7886.5
2014-10-10,7859.950195,7924.049805,7848.450195,7911.0
2014-10-13,7884.25,7901.149902,7796.0,7831.0
2014-10-14,7864.0,7928.0,7825.450195,7923.25
2014-10-15,,,,
2014-10-16,7748.200195,7893.899902,7729.649902,7837.299805
2014-10-17,7779.700195,7819.200195,7723.850098,7733.75
2014-10-20,7879.399902,7905.950195,7856.950195,7896.950195
2014-10-21,7927.75,7936.600098,7874.350098,7906.149902
2014-10-22,7995.899902,8005.0,7974.549805,7997.799805
2014-10-27,7991.700195,8064.399902,7985.649902,8027.700195
2014-10-28,8027.600098,8037.799805,7995.049805,8002.399902
2014-10-29,8090.450195,8097.950195,8052.25,8077.049805
2014-10-30,8169.200195,8181.549805,8085.200195,8085.200195
2014-10-31,8322.200195,8330.75,8198.049805,8200.799805
2014-11-03,8324.150391,8350.599609,8297.650391,8348.150391
2014-11-05,8338.299805,8365.549805,8323.5,8351.25
2014-11-07,8337.0,8360.349609,8290.25,8331.849609
2014-11-10,8344.25,8383.049805,8304.450195,8337.799805
2014-11-11,8362.650391,8378.700195,8321.849609,8354.099609
2014-11-12,8383.299805,8415.049805,8370.5,8378.900391
2014-11-13,8357.849609,8408.0,8320.349609,8405.25
2014-11-14,8389.900391,8400.650391,8346.799805,8360.700195
2014-11-17,8430.75,8438.099609,8349.099609,8378.400391
2014-11-18,8425.900391,8454.5,8407.25,8441.25
2014-11-19,8382.299805,8455.650391,8360.5,8440.650391
2014-11-20,8401.900391,8410.849609,8353.150391,8406.5
2014-11-21,8477.349609,8489.799805,8398.599609,8408.200195
2014-11-24,8530.150391,8534.650391,8490.799805,8490.950195
2014-11-25,8463.099609,8535.349609,8429.450195,8530.799805
2014-11-26,8475.75,8500.299805,8438.650391,8450.299805
2014-11-27,8494.200195,8506.75,8456.349609,8477.799805
2014-11-28,8588.25,8617.0,8516.25,8516.799805
2014-12-01,8555.900391,8623.0,8545.150391,8605.099609
2014-12-02,8524.700195,8560.200195,8504.650391,8535.450195
2014-12-03,8537.650391,8546.950195,8508.349609,8528.700195
2014-12-04,8564.400391,8626.950195,8526.400391,8582.400391
2014-12-05,8538.299805,8588.349609,8523.900391,8584.25
2014-12-08,8438.25,8546.349609,8432.25,8538.650391
2014-12-09,8340.700195,8444.5,8330.5,8439.299805
2014-12-10,8355.650391,8376.799805,8317.0,8318.049805
2014-12-11,8292.900391,8348.299805,8272.400391,8338.849609
2014-12-12,8224.099609,8321.900391,8216.299805,8302.0
2014-12-15,8219.599609,8242.400391,8152.5,8160.75
2014-12-16,8067.600098,8189.350098,8052.600098,8172.600098
2014-12-17,8029.799805,8082.0,7961.350098,8041.200195
2014-12-18,8159.299805,8174.299805,8084.899902,8138.899902
2014-12-19,8225.200195,8263.450195,8208.599609,8230.450195
2014-12-22,8324.0,8330.950195,8228.200195,8255.0
2014-12-23,8267.0,8364.75,8252.849609,8324.599609
2014-12-24,8174.100098,8286.400391,8155.25,8272.049805
2014-12-26,8200.700195,8234.549805,8147.950195,8204.799805
2014-12-29,8246.299805,8279.150391,8214.700195,8214.700195
2014-12-30,8248.25,8268.25,8220.549805,8260.299805
2014-12-31,8282.700195,8291.0,8243.75,8243.900391
2015-01-01,,,,
2015-01-02,8395.450195,8410.599609,8288.700195,8288.700195
2015-01-05,8378.400391,8445.599609,8363.900391,8407.950195
2015-01-06,8127.350098,8327.849609,8111.350098,8325.299805
2015-01-07,8102.100098,8151.200195,8065.450195,8118.649902
2015-01-08,8234.599609,8243.5,8167.299805,8191.399902
2015-01-09,8284.5,8303.299805,8190.799805,8285.450195
2015-01-12,8323.0,8332.599609,8245.599609,8291.349609
2015-01-13,8299.400391,8356.650391,8267.900391,8346.150391
2015-01-14,8277.549805,8326.450195,8236.650391,8307.25
2015-01-15,8494.150391,8527.099609,8380.549805,8424.5
2015-01-16,8513.799805,8530.75,8452.25,8504.049805
2015-01-19,8550.700195,8570.950195,8531.5,8550.049805
2015-01-20,8695.599609,8707.900391,8574.5,8575.099609
2015-01-21,8729.5,8741.849609,8689.599609,8719.650391
2015-01-22,8761.400391,8774.150391,8727.0,8745.849609
2015-01-23,8835.599609,8866.400391,8795.400391,8827.950195
2015-01-27,8910.5,8925.049805,8825.450195,8871.349609
2015-01-28,8914.299805,8985.049805,8874.049805,8902.75
2015-01-29,8952.349609,8966.650391,8861.25,8901.5
2015-01-30,8808.900391,8996.599609,8775.099609,8996.599609
2015-02-02,8797.400391,8840.799805,8751.099609,8802.5
2015-02-03,8756.549805,8837.299805,8726.650391,8823.150391
2015-02-04,8723.700195,8792.849609,8704.400391,8789.150391
2015-02-05,8711.700195,8838.450195,8683.650391,8733.099609
2015-02-06,8661.049805,8726.200195,8645.549805,8696.849609
2015-02-09,8526.349609,8605.549805,8516.349609,8584.400391
2015-02-10,8565.549805,8646.25,8470.5,8478.099609
2015-02-11,8627.400391,8651.950195,8593.650391,8603.299805
2015-02-12,8711.549805,8732.549805,8599.25,8676.950195
2015-02-13,8805.5,8822.099609,8729.650391,8741.5
2015-02-16,8809.349609,8870.099609,8793.400391,8831.400391
2015-02-18,8869.099609,8894.299805,8808.900391,8811.549805
2015-02-19,8895.299805,8913.450195,8794.450195,8883.049805
2015-02-20,8833.599609,8899.950195,8816.299805,8895.5
2015-02-23,8754.950195,8869.0,8736.099609,8856.849609
2015-02-24,8762.099609,8800.5,8726.75,8772.900391
2015-02-25,8767.25,8840.650391,8751.400391,8801.900391
2015-02-26,8683.849609,8786.049805,8669.450195,8779.0
2015-02-27,8844.599609,8856.950195,8717.450195,8729.5
2015-02-28,,,,
2015-03-02,8956.75,8972.349609,8885.450195,8953.849609
2015-03-03,8996.25,9008.400391,8925.549805,8962.849609
2015-03-04,8922.650391,9119.200195,8893.950195,9109.150391
2015-03-05,8937.75,8957.549805,8849.349609,8929.400391
2015-03-09,8756.75,8891.299805,8740.450195,8891.150391
2015-03-10,8712.049805,8778.0,8677.349609,8769.75
2015-03-11,8699.950195,8755.599609,8682.349609,8728.75
2015-03-12,8776.0,8787.200195,8732.900391,8740.650391
2015-03-13,8647.75,8849.75,8631.75,8844.049805
2015-03-16,8633.150391,8663.549805,8612.0,8656.75
2015-03-17,8723.299805,8742.549805,8630.799805,8689.099609
2015-03-18,8685.900391,8747.25,8664.0,8742.900391
2015-03-19,8634.650391,8788.200195,8614.650391,8749.450195
2015-03-20,8570.900391,8627.900391,8553.0,8627.900391
2015-03-23,8550.900391,8608.349609,8540.549805,8591.549805
2015-03-24,8542.950195,8627.75,8535.849609,8537.049805
2015-03-25,8530.799805,8573.75,8516.549805,8568.900391
2015-03-26,8342.150391,8499.450195,8325.349609,8474.950195
2015-03-27,8341.400391,8413.200195,8269.150391,8396.0
2015-03-30,8492.299805,8492.299805,8380.75,8390.950195
2015-03-31,8491.0,8550.450195,8454.150391,8527.599609
2015-04-01,8586.25,8603.400391,8464.75,8483.700195
2015-04-06,8659.900391,8667.549805,8573.75,8615.799805
2015-04-07,8660.299805,8693.599609,8586.849609,8684.450195
2015-04-08,8714.400391,8730.5,8679.799805,8698.950195
2015-04-09,8778.299805,8785.5,8682.450195,8756.200195
2015-04-10,8780.349609,8787.400391,8733.599609,8774.349609
2015-04-13,8834.0,8841.650391,8762.099609,8801.75
2015-04-15,,,,
2015-04-16,8706.700195,8760.0,8645.650391,8757.049805
2015-04-17,8606.0,8699.849609,8596.700195,8698.049805
2015-04-20,8448.099609,8619.950195,8422.75,8618.799805
2015-04-21,8377.75,8469.349609,8352.700195,8416.099609
2015-04-22,8429.700195,8449.950195,8284.700195,8400.400391
2015-04-23,8398.299805,8504.950195,8361.849609,8478.200195
2015-04-24,8305.25,8413.299805,8273.349609,8405.700195
2015-04-27,8213.799805,8334.450195,8202.349609,8330.549805
2015-04-28,8285.599609,8308.0,8185.149902,8215.549805
2015-04-29,8239.75,8308.200195,8219.200195,8274.799805
2015-04-30,8181.5,8229.400391,8144.75,8224.5
2015-05-04,8331.950195,8346.0,8220.450195,8230.049805
2015-05-05,8324.799805,8355.650391,8280.599609,8338.400391
2015-05-06,8097.0,8331.950195,8083.0,8316.599609
2015-05-07,8057.299805,8122.600098,7997.149902,8077.0
2015-05-08,8191.5,8224.950195,8123.450195,8131.5
2015-05-11,8325.25,8332.75,8224.650391,8243.200195
2015-05-12,8126.950195,8326.650391,8115.299805,8326.150391
2015-05-13,8235.450195,8254.950195,8089.799805,8181.549805
2015-05-14,8224.200195,8236.25,8137.299805,8232.450195
2015-05-15,8262.349609,8279.200195,8212.200195,8240.299805
2015-05-18,8373.650391,8384.599609,8271.950195,8284.950195
2015-05-19,8365.650391,8427.799805,8335.0,8356.200195
2015-05-20,8423.25,8440.349609,8391.450195,8392.650391
